year	rarity
2016	0.605
2017	0.636842105263
2016	0.711764705882
2017	0.75625
2010	0.88
2013	2.82285714286
2016	1.4836363636399998
2014	1.3830508474599998
2016	2.72
2014	1.12142857143
2017	0.95625
2016	0.672
2009	1.12
2015	0.684
2002	1.31538461538
2005	1.368
2017	0.684
2016	1.18888888889
2016	1.18888888889
2015	1.275
2017	1.7
2016	0.73
2013	2.344
2014	1.055
2015	1.40666666667
2016	1.56
2014	1.092
2013	0.928
2016	0.322222222222
2014	1.59166666667
2016	0.955
2017	1.06111111111
2012	1.5
2013	1.46666666667
2016	2.085
2016	1.5428571428600002
2016	1.92857142857
2002	2.5714285714300003
2014	2.34782608696
2016	1.45
2015	1.78461538462
2016	2.23076923077
2014	2.0714285714300003
2017	1.61111111111
2012	1.8125
2016	1.535
2015	3.07
2017	2.79090909091
2015	1.65
2016	0.99
2014	0.72
2013	2.51428571429
2017	1.46111111111
2016	1.75333333333
2015	1.524
2012	2.14375
2014	2.79333333333
2015	3.49166666667
2012	2.61875
2017	1.18666666667
2016	2.05384615385
2015	1.78
2017	1.23571428571
2016	1.23571428571
2014	1.5
2017	2.4
2016	3.0
2017	1.2
2017	0.96
2017	1.74545454545
2011	2.4875
2017	1.592
2016	2.2742857142900004
2017	0.807142857143
2016	1.13
2014	0.807142857143
2017	0.842857142857
2015	1.07272727273
2017	0.842857142857
2014	0.524444444444
2015	1.64615384615
2015	1.64615384615
2016	1.6818181818200002
2017	1.42307692308
2017	1.46875
2003	1.74074074074
2015	1.30555555556
2017	1.30714285714
2014	1.14375
2017	1.14375
2016	0.8875
